,symbol,category,product_summary,asset_class,inception_date,minimum_investment,expense_ratio,risk_level
191,VO,Mid Blend,"Seeks to track the performance of the CRSP US Mid Cap Index, which measures the investment return of mid-capitalization stocks.Provides a convenient way to match the performance of a diversified group of medium-size companies.Follows a passively managed, full-replication approach.",Domestic Stock - More Aggressive,2004-01-26,1,0.0004,Aggressive
192,VNYUX,Muni New York Long,"The fund’s investment objective is to seek to provide current income that is exempt from both federal and New York personal income taxes. The fund is intended for New York residents only. It invests primarily in high-quality municipal bonds issued by New York state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and New York state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. The fund has an average duration of approximately 6-10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and New York state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Long-Term Bond,2001-05-14,50000,0.0009,Moderate
193,MGC,Large Blend,"Seeks to track the performance of the CRSP US Mega Cap Index.Employs a passively managed, full-replication approach.Provides a convenient way to get diversified exposure to the largest U.S. stocks representing approximately the top 70% of market capitalization.",Domestic Stock - General,2007-12-17,1,0.0007,Moderate to Aggressive
194,VSGX,Foreign Large Blend,"Important note: The index excludes the stocks of companies that FTSE determines engage in, have a specified level of involvement in, and/or derive threshold amounts of revenue from one or more of the following activities: (i) produce adult entertainment; own/operate adult entertainment establishments; distribute adult entertainment materials; (ii) manufacture alcoholic beverages; supply alcohol-related products/services to alcoholic beverage manufacturers; involved in distribution and/or retail sale of alcoholic beverages; (iii) manufacture tobacco products; supply tobacco related products/services; involved in distribution and/or retail sale of tobacco products; (iv) engage in cannabis cultivation, cannabis distribution, the processing and distribution of cannabis plants, and the creation of cannabis derivative products per the Industry Classification Benchmark (ICB) standards; (v) own and/or operate a gambling establishment; manufacture specialized equipment used exclusively for gambling; provide supporting products/services to gambling operations; (vi) produce chemical or biological weapons and their components; (vii) produce (or produce specific and critical parts or services for) cluster munitions; (viii) produce (or produce specific and critical parts or services for) anti-personnel mines; (ix) produce nuclear weapons or their components; (x) manufacture military weapons systems and/or integral, tailor-made components of these weapons; provide tailor-made products and/or services that support military weapons; provide non-weapons related tailor-made products and/or services related to the military or defense industry; (xi) produce and sell assault weapons or small arms to civilian customers; produce and sell key components of small arms; involved in the retail and/or distribution of assault weapons or small arms; (xii) involved in the operation and supply of nuclear power generation, that harnesses the energy present within atomic nuclei or their components; engaged in the development, processing, production and distribution of equipment and facilities that are specifically designed for and critical to the generation of nuclear power; (xiii) own proved or probable reserves in coal, oil, or gas; (xiv) any company that FTSE determines per the ICB standards: (a) engages in the exploration for and drilling, production, and supply of crude oil on land or in offshore areas; (b) primarily engages in the refining and marketing of petroleum products; (c) supplies equipment and services to oil fields and offshore platforms; (d) operates pipelines carrying oil, gas or other forms of fuel; (e) engages in all three fields of petroleum production: extraction (upstream), transportation (midstream), and refining and marketing (downstream); or (f) mines, processes and markets coal per the ICB standards; and (xv) generate electricity from oil and/or gas, or thermal coal. The level or type of involvement in, or amount of revenue earned from, certain activities or business segments that lead to exclusion by FTSE can vary from one activity or business segment to another. The index methodology also excludes the stocks of companies that, as FTSE determines based on its internal assessment, do not meet certain labor, human rights, environmental, and anti-corruption standards as defined by the United Nations Global Compact Principles, as well as companies that fail to meet two of the following three diversity criteria: (1) at least one woman on the board; (2) diversity policies in place; and (3) diversity management systems in place. FTSE uses internal methodologies to analyze various factors in determining whether a company meets the foregoing criteria and/or falls within a particular industry, including whether the company has a certain amount of revenue derived from an industry, the company’s level of involvement in an industry, and the severity of certain controversies (as determined by FTSE), which can vary from one company to another and from one activity to another. For more information, see United Nations Global Compact, 2020. The Ten Principles of the UN Global Compact. Accessed December 2, 2020, at unglobalcompact.org/what-is-gc/mission/principles.",International/Global Stock,2018-09-18,1,0.0012,Aggressive
195,VMCPX,Mid Blend,"This low-cost index fund provides broad mid-capitalization U.S. equity exposure. The fund seeks to track an index of medium-sized companies, whose stocks tend to be more volatile than those of larger companies. This potential volatility is one of the fund’s key risks. Investors looking to add a passively managed, mid-cap stock allocation to an already diversified portfolio may wish to consider this fund.",Domestic Stock - More Aggressive,2010-12-15,100000000,0.0003,Aggressive
196,VSGIX,Small Growth,"This low-cost index fund offers exposure to small-capitalization U.S. growth stocks, which tend to grow more quickly than the broader market. The fund seeks to track a growth-style index of small-sized companies. One of the fund’s primary risks is its focus on the small-cap arena, which is an often-volatile segment of the market. Investors looking to add a passively managed, small-cap growth allocation to an already diversified portfolio may wish to consider this fund.",Domestic Stock - More Aggressive,2000-05-24,5000000,0.0006,Aggressive
197,VTTHX,Target-Date 2031-2035,Vanguard Target Retirement Funds offer a diversified portfolio within a single fund that adjusts its underlying asset mix over time. The funds provide broad diversification while incrementally decreasing exposure to stocks and increasing exposure to bonds as each fund’s target retirement date approaches. The funds continue to adjust for approximately seven years after that date until their allocations match that of the Target Retirement Income Fund. Investors in the funds should be able to tolerate the risks that come from the volatility of the stock and bond markets. You may wish to consider this fund if you’re planning to retire between 2033 and 2037.,Balanced,2003-10-27,1000,0.0008,Moderate to Aggressive
198,VFQY,Equity, ,Domestic Stock - General,2018-02-13,1,0.0013,Aggressive
199,VYFXX,Muni Single State Money Market,"Vanguard New York Municipal Money Market Fund’s investment objective is to seek to provide current income that is exempt from both federal and New York personal income taxes while maintaining a stable net asset value of $1 per share. The fund is intended for New York residents only. Under normal circumstances, the fund invests at least 80% of its assets in a variety of high-quality, short-term New York municipal securities. As such it is considered one of the most conservative investment options offered by Vanguard. Although the fund invests in short-term, high-quality securities, the amount of income that a shareholder may receive will be largely dependent on the current interest-rate environment and the availability of eligible New York municipal securities. Investors in a higher tax bracket who have a short-term savings goal and seek a competitive tax-free yield may wish to consider this option.",Money Market,1997-09-03,3000,0.0016,Conservative
200,VTTSX,Target-Date 2056-2060,Vanguard Target Retirement Funds offer a diversified portfolio within a single fund that adjusts its underlying asset mix over time. The funds provide broad diversification while incrementally decreasing exposure to stocks and increasing exposure to bonds as each fund’s target retirement date approaches. The funds continue to adjust for approximately seven years after that date until their allocations match that of the Target Retirement Income Fund. Investors in the funds should be able to tolerate the risks that come from the volatility of the stock and bond markets. You may wish to consider this fund if you’re planning to retire between 2058 and 2062.,Balanced,2012-01-19,1000,0.0008,Moderate to Aggressive
201,VEMRX,Diversified Emerging Markets,"This fund offers investors a low-cost way to gain equity exposure to emerging markets. Stocks of companies in emerging markets tend to be more volatile than those in developed countries, which could imply the potential for greater long-term returns. Along with this potential, however, come risks such as currency and political risks. Long-term, risk-tolerant investors who want to diversify their international portfolio may wish to consider this fund.",International/Global Stock,2010-12-15,100000000,0.0008,Aggressive
202,VTRIX,Foreign Large Value,"This fund invests in non-U.S. companies from developed and emerging markets around the world that its advisors view as temporarily undervalued by the markets. Because it invests in foreign stocks, the fund is subject to both currency risk and country risk. This fund’s multimanager approach—the fund uses three investment advisors that follow distinct investment approaches—can add additional diversification to the fund. Long-term investors may wish to consider this fund as complementary to an already diversified stock portfolio.",International/Global Stock,1983-05-16,3000,0.0038,Aggressive
203,VPAIX,Muni Pennsylvania,"The fund’s investment objective is to seek to provide current income that is exempt from both federal and Pennsylvania personal income taxes. The fund is intended for Pennsylvania residents only. It invests primarily in high-quality municipal bonds issued by Pennsylvania state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and Pennsylvania state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. The fund holds has an average duration of approximately 6–10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and Pennsylvania state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Long-Term Bond,1986-04-07,3000,0.0017,Moderate
204,VCADX,Muni California Interm/Short,"The fund’s investment objective is to seek to provide a higher level of current income than shorter-term bonds, but with less share-price fluctuation than longer-term bonds. The fund is intended for California residents only. It invests primarily in high-quality municipal bonds issued by California state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and California state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 6 and 12 years. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that may provide federal and California state tax-exempt interest income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Intermediate-Term Bond,2001-11-12,50000,0.0009,Conservative to Moderate
205,VMFGX,Mid Growth,"Invests in stocks in the S&P MidCap 400 Growth Index, composed of the growth companies in the S&P 400.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. mid-cap growth stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - More Aggressive,2011-03-28,5000000,0.0008,Aggressive
206,VVIAX,Large Value,"This fund invests in stocks of large U.S. companies in market sectors that tend to grow at a slower pace than the broad market; these stocks may be temporarily undervalued by investors. This low-cost index fund follows a buy-and-hold approach, and invests in substantially all of the stocks contained within its broad benchmark. In addition to general stock market volatility, the fund’s primary risk comes from the fact that at times its focus on large-capitalization value stocks may underperform the broader stock market.",Domestic Stock - General,2000-11-13,3000,0.0005,Moderate to Aggressive
207,VCR,Consumer Discretionary,"Seeks to track the performance of a benchmark index that measures the investment return of stocks in the consumer discretionary sector.Passively managed, using a full-replication strategy when possible and a sampling strategy if regulatory constraints dictate.Includes stocks of companies that manufacture products and provide services that consumers purchase on a discretionary basis.",Domestic Stock - Sector-Specific,2004-01-26,1,0.001,Aggressive
208,VFSIX,Short-Term Bond,"This fund is designed to give investors exposure to high- and medium-quality, investment-grade bonds with short-term maturities. The fund invests in corporate bonds, pooled consumer loans, and U.S. government bonds. Although short-term bond funds tended to have a higher yield than money market funds, the tradeoff has been that the share price fluctuates. Additionally, increases in interest rates can cause the prices of the bonds in the portfolio, and thus the fund’s share price, to decrease. Investors with a short-term savings goal who are willing to accept some price movement may wish to consider this fund.",Short-Term Bond,1997-09-30,5000000,0.0007,Conservative
209,VEMIX,Diversified Emerging Markets,"This fund offers investors a low-cost way to gain equity exposure to emerging markets. Stocks of companies in emerging markets tend to be more volatile than those in developed countries, which could imply the potential for greater long-term returns. Along with this potential, however, come risks such as currency and political risks. Long-term, risk-tolerant investors who want to diversify their international portfolio may wish to consider this fund.",International/Global Stock,2000-06-22,5000000,0.001,Aggressive
210,VBLIX,Long-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities of more than ten years. Reflecting this goal, the fund invests about 60% of assets in corporate bonds and 40% in U.S. government bonds within that maturity range. Because long-term bonds tend to be very sensitive to interest-rate changes, one of the fund’s key risks is that increases in interest rates may reduce the price of the bonds in the portfolio, which would reduce the fund’s share price. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Long-Term Bond,2011-10-06,100000000,0.0004,Moderate
211,VSMSX,Small Blend,"Invests in stocks in the S&P Small-Cap 600 Index, representing 600 smaller U.S. companies.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. small-cap stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - More Aggressive,2011-04-01,5000000,0.0008,Aggressive
212,VFTAX,Large Growth,"Important note: The index excludes the stocks of companies that FTSE determines engage in, have a specified level of involvement in, and/or derive threshold amounts of revenue from one or more of the following activities: (i) produce adult entertainment; own/operate adult entertainment establishments; distribute adult entertainment materials; (ii) manufacture alcoholic beverages; supply alcohol-related products/services to alcoholic beverage manufacturers; involved in distribution and/or retail sale of alcoholic beverages; (iii) manufacture tobacco products; supply tobacco related products/services; involved in distribution and/or retail sale of tobacco products; (iv) engage in cannabis cultivation, cannabis distribution, the processing and distribution of cannabis plants, and the creation of cannabis derivative products per the Industry Classification Benchmark (ICB) standards; (v) own and/or operate a gambling establishment; manufacture specialized equipment used exclusively for gambling; provide supporting products/services to gambling operations; (vi) produce chemical or biological weapons and their components; (vii) produce (or produce specific and critical parts or services for) cluster munitions; (viii) produce (or produce specific and critical parts or services for) anti-personnel mines; (ix) produce nuclear weapons or their components; (x) manufacture military weapons systems and/or integral, tailor-made components of these weapons; provide tailor-made products and/or services that support military weapons; provide non-weapons related tailor-made products and/or services related to the military or defense industry; (xi) produce and sell assault weapons or small arms to civilian customers; produce and sell key components of small arms; involved in the retail and/or distribution of assault weapons or small arms; (xii) involved in the operation and supply of nuclear power generation, that harnesses the energy present within atomic nuclei or their components; engaged in the development, processing, production and distribution of equipment and facilities that are specifically designed for and critical to the generation of nuclear power; (xiii) own proved or probable reserves in coal, oil, or gas; (xiv) any company that FTSE determines per the ICB standards: (a) engages in the exploration for and drilling, production, and supply of crude oil on land or in offshore areas; (b) primarily engages in the refining and marketing of petroleum products; (c) supplies equipment and services to oil fields and offshore platforms; (d) operates pipelines carrying oil, gas or other forms of fuel; (e) engages in all three fields of petroleum production: extraction (upstream), transportation (midstream), and refining and marketing (downstream); or (f) mines, processes and markets coal per the ICB standards; and (xv) generate electricity from oil and/or gas, or thermal coal. The level or type of involvement in, or amount of revenue earned from, certain activities or business segments that lead to exclusion by FTSE can vary from one activity or business segment to another. The index methodology also excludes the stocks of companies that, as FTSE determines based on its internal assessment, do not meet certain labor, human rights, environmental, and anti-corruption standards as defined by the United Nations Global Compact Principles, as well as companies that fail to meet two of the following three diversity criteria: (1) at least one woman on the board; (2) diversity policies in place; and (3) diversity management systems in place. FTSE uses internal methodologies to analyze various factors in determining whether a company meets the foregoing criteria and/or falls within a particular industry, including whether the company has a certain amount of revenue derived from an industry, the company’s level of involvement in an industry, and the severity of certain controversies (as determined by FTSE), which can vary from one company to another and from one activity to another. For more information, see United Nations Global Compact, 2020. The Ten Principles of the UN Global Compact. Accessed December 2, 2020, at unglobalcompact.org/what-is-gc/mission/principles.",Domestic Stock - General,2019-02-07,3000,0.0014,Moderate to Aggressive
213,MGV,Large Value,"Seeks to track the performance of the CRSP US Mega Cap Value Index.Employs a passively managed, full-replication approach.Provides a convenient way to get diversified exposure to the largest value stocks in the U.S. market.",Domestic Stock - General,2007-12-17,1,0.0007,Moderate to Aggressive
214,VMATX,Muni Massachusetts,"The fund’s investment objective is to seek to provide a high level of current income that is exempt from both federal and Massachusetts personal income taxes. The Fund is intended for Massachusetts residents only. It invests primarily in high-quality municipal bonds issued by Massachusetts state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and Massachusetts state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. The fund has an average duration of approximately 6-10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and Massachusetts state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Long-Term Bond,1998-12-09,3000,0.0013,Moderate
215,VCMDX,Commodities Broad Basket,"This fund’s purpose is to serve investors as a potential hedge against inflation risk and as further diversification for a traditional stock/bond portfolio. The fund will rely on commodity derivative securities to maximize inflation protection by seeking to outperform its benchmark and reduce the long-term volatility of a well-diversified, balanced portfolio. The commodity-linked exposure will be collateralized with a mix of short-term Treasury inflation-protected securities (TIPS) and Treasury bills (T-bills).",Specialty,2019-06-25,50000,0.0021,Aggressive
216,VTHRX,Target-Date 2026-2030,Vanguard Target Retirement Funds offer a diversified portfolio within a single fund that adjusts its underlying asset mix over time. The funds provide broad diversification while incrementally decreasing exposure to stocks and increasing exposure to bonds as each fund’s target retirement date approaches. The funds continue to adjust for approximately seven years after that date until their allocations match that of the Target Retirement Income Fund. Investors in the funds should be able to tolerate the risks that come from the volatility of the stock and bond markets. You may wish to consider this fund if you’re planning to retire between 2028 and 2032.,Balanced,2006-06-07,1000,0.0008,Moderate
217,VFIIX,Intermediate Government,"This bond fund specializes in government mortgage-backed securities. The fund primarily invests in GNMA securities, which are backed by the full faith and credit of the U.S. government and typically offer a higher yield than U.S. Treasuries. In addition to other bond market risks, the fund is subject to prepayment risk. When mortgage refinance activity is high, the yield on the fund is likely to decrease. Investors with a medium-term time horizon and a goal of monthly income may wish to consider the fund for the fixed income portion of their portfolio.",Intermediate-Term Bond,1980-06-27,3000,0.0021,Conservative to Moderate
218,VFIRX,Short Government,"This fund at a minimum invests 80% of the assets in debt issued directly by the government in the form of Treasury bills, notes or bonds (including inflation-protected securities) and may invest in other securities including, but not limited to, debt issued by federal agencies that are sponsored, guaranteed, or owned by the federal government. A key risk of the fund is the fact that changes in interest rates can eventually lead to a decrease in income for the fund. Although short-term bond funds historically tend to have higher yields than money market funds, unlike money market funds, their share price fluctuates. Investors with short-term savings goals who are willing to accept some price movement may wish to consider this fund.",Short-Term Bond,2001-02-13,50000,0.001,Conservative
219,VTCAX,Communications,"This low-cost index fund offers exposure to the communication services sector of the U.S. equity market, which includes stocks of companies that provide telephone, data transmission, cellular, or wireless communication services, and facilitate communication and offer related content and information through various media. The fund’s main risk is its narrow scope—it invests solely in communication services stocks. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Domestic Stock - Sector-Specific,2005-03-11,100000,0.001,Aggressive
220,VFWSX,Foreign Large Blend,"This index fund provides investors with low-cost exposure to stock markets located outside the United States. The fund seeks to track an index that consists of companies located in developed markets, including Europe, the Pacific, and Canada, and in emerging markets. In addition to stock market risk, the fund is also subject to currency risk and country risk. Because of its exposure to emerging markets, the fund can be more volatile than other international funds. Long-term investors seeking exposure to non-U.S. markets may wish to consider this fund as part of a diversified portfolio.",International/Global Stock,2007-04-30,5000000,0.0009,Aggressive
221,VMFXX,Taxable Money Market,"Vanguard Federal Money Market Fund’s investment objective is to seek to provide current income while maintaining liquidity and a stable share price of $1. The fund invests at least 99.5% of its total assets in cash, U.S. government securities, and/or repurchase agreements that are collateralized solely by U.S. government securities or cash (collectively, government securities). As such it is considered one of the most conservative investment options offered by Vanguard. Although the fund invests in short-term U.S. government securities, the amount of income that a shareholder may receive will be largely dependent on the current interest rate environment. Investors who have a short-term savings goal and are interested in a fund that invests in securities issued by the U.S. government or its agencies may wish to consider this option.Important Note: This fund may earn income from investments in repurchase agreements and certain other securities that are generally subject to state and local taxes.",Money Market,1981-07-13,3000,0.0011,Conservative
222,VTEB,Muni National Interm,NA,Intermediate-Term Bond,2015-08-21,1,0.0005,Conservative to Moderate
223,VSIIX,Small Value,"This low-cost index fund offers exposure to small-capitalization U.S. value stocks. Value stocks are those that may be temporarily undervalued by investors. These companies typically grow at a slower pace than the typical company. The fund seeks to track a value-style index of small-sized companies. One of the fund’s primary risks is its focus on the small-cap arena, which is an often-volatile segment of the market. Investors looking to add a passively managed, small-cap value allocation to an already diversified portfolio may wish to consider this fund.",Domestic Stock - More Aggressive,1999-12-07,5000000,0.0006,Aggressive
224,VCSAX,Consumer Staples,"This low-cost index fund offers exposure to the consumer staples sector of the U.S. equity market, which includes stocks of companies that provide direct-to-consumer products that, based on consumer spending habits, are considered essential to daily life. The fund’s main risk is its narrow scope—it invests solely in consumer staples stocks. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Domestic Stock - Sector-Specific,2004-01-30,100000,0.001,Aggressive
225,VOE,Mid Value,"Seeks to track the performance of the CRSP US Mid Cap Value Index, which measures the investment return of mid-capitalization value stocks.Provides a convenient way to match the performance of a diversified group of midsize value companies.Follows a passively managed, full-replication approach.",Domestic Stock - More Aggressive,2006-08-17,1,0.0007,Aggressive
226,VTHR,Large Blend,"Invests in 3,000 stocks representative of 98% of the whole U.S. market.Goal is to keep pace with U.S. stock market returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - General,2010-09-20,1,0.001,Moderate to Aggressive
227,VMNFX,Long-Short,"This fund has a unique and complex investment approach, compared with other Vanguard funds. Its goal is to “neutralize,” or limit, the effect of stock market movement on returns. Because of this, the fund’s return is often uncorrelated to that of the stock market. Unlike other Vanguard funds, this fund uses long- and short-selling strategies, which involve specific risks not apparent in traditional mutual funds. The fund may be appropriate for a small portion of an already well-diversified portfolio.",Domestic Stock - General,1998-11-11,50000,0.0183,Moderate to Aggressive
228,VGWLX,Moderate Allocation,"This fund offers exposure to U.S. and foreign stocks (about two-thirds of the portfolio) and U.S. and foreign bonds (one-third of the portfolio). The fund offers broad diversification by investing in stocks and bonds across all economic sectors. This is important because one or two holdings should not have a sizeable impact on the fund. Because it invests in U.S. and foreign stocks and investment-grade bonds, the fund is subject to both currency risk and country risk. Investors with a long-term time horizon who want growth and some income—and who are willing to accept stock and bond market volatility—may wish to consider this fund.",Global Balanced,2017-11-02,3000,0.0044,Moderate
229,VMCTX,Large Blend,"Seeks to track the performance of the CRSP US Mega Cap Index.Employs a passively managed, full-replication approach.Provides a convenient way to get diversified exposure to the largest U.S. stocks representing approximately the top 70% of market capitalization.",Domestic Stock - General,2008-02-22,5000000,0.0006,Moderate to Aggressive
230,VWIAX,Conservative Allocation,"This 40 year-old, income-oriented balanced fund offers exposure to stocks and investment-grade bonds. Balanced funds typically offer a higher allocation to stocks; however, this fund is unique in allocating about one-third to stocks and two-thirds to bonds. The fund’s stock holdings are focused on companies that have historically paid a larger-than-average dividend or that have expectations of increasing dividends. This focus may provide a higher quarterly income distribution than non-income-focused balanced funds. Investors with a medium- or long-term time horizon who have a goal of steady income and who are willing to accept modest movement in share price may wish to consider this fund as a core holding in their portfolio.",Balanced,2001-05-14,50000,0.0016,Moderate
231,VTWAX,World Stock,"Total World Stock Index Fund provides shareholders low-cost exposure to stock markets around the globe, including the United States, developed foreign markets, and emerging markets. In addition to stock market risk, the fund is also subject to currency risk and country risk. Long-term investors seeking global equity exposure who are comfortable with the volatility inherent in stock market investing may wish to consider this fund.",International/Global Stock,2019-02-07,3000,0.001,Moderate to Aggressive
232,VMRXX,Taxable Money Market,"Vanguard Cash Reserves Federal Money Market Fund’s investment objective is to seek to provide current income while maintaining liquidity and a stable share price of $1. The fund invests at least 99.5% of its total assets in cash, U.S. government securities, and/or repurchase agreements that are collateralized solely by U.S. government securities or cash (collectively, government securities). The fund invests more than 25% of its assets in securities issued by companies in the financial services industry, which includes securities issued by certain government-sponsored enterprises. The fund is considered one of the most conservative investment options offered by Vanguard. Although the fund invests in short-term U.S. government securities, the amount of income that a shareholder may receive will be largely dependent on the current interest rate environment. Investors who have a short-term savings goal and are interested in a fund that invests in securities issued by the U.S. government or its agencies may wish to consider this option.Important Note: This fund may earn income from investments in repurchase agreements and certain other securities that are generally subject to state and local taxes.",Money Market,1989-10-03,3000,0.001,Conservative
233,IVOG,Mid Growth,"On February 22, 2023, Vanguard announced that the ETF will complete a 2:1 share split effective March 14, 2023. The share split results in a decrease of the price per share of the ETF with a proportionate increase in the number of shares outstanding. Historical share price data will not be adjusted for the split. Although certain data may reflect both pre- and post-split prices, returns are not impacted.",Domestic Stock - More Aggressive,2010-09-07,1,0.0015,Aggressive
234,VMVFX,World Stock,"The fund invests primarily in U.S. and foreign stocks that are expected to minimize volatility relative to the global equity market. To reduce volatility, the fund will consider stocks’ risk and diversification characteristics and seek to hedge away most of the currency exposure resulting from its foreign stock holdings. While the fund’s goal is to limit the volatility of global stock investing, we caution against expecting any low or minimum volatility investment to outperform, or even match, the global equity market over the long term. It is reasonable for investors to expect, on average, for a minimum volatility fund to outperform the overall global market in sharp downturns and trail the market in strong bull markets.",International/Global Stock,2013-12-12,3000,0.0021,Moderate to Aggressive
235,VXF,Mid Blend,"Seeks to track the performance of a benchmark index that measures the investment return of stocks from small and midsize companies.Provides a convenient way to match the performance of virtually all regularly traded U.S. stocks except those in the S&P 500 Index.Passively managed, using index sampling techniques.",Domestic Stock - More Aggressive,2001-12-27,1,0.0006,Aggressive
236,VFMF,Equity,"Note: The Value factor is measured by book value/price, forward earnings/price, operating cash flows/price (for non-financials only). The Momentum factor is measured by total returns from month T-12 to month T-1, total returns from month T-7 to month T-1, and the intercept from a 1-year regression of stock returns on their regional benchmark. For financials, the Quality factor is measured by return on equity and share issuance. For non-financials the Quality factor is measured by return on equity, gross profitability, change in net operating assets, and leverage. The volatility screen removes the 20% most volatile names within each market cap grouping and equally across sectors.",Domestic Stock - General,2018-02-13,1,0.0018,Moderate to Aggressive
237,VGIVX,Emerging Markets Bond,"This fund is designed to provide exposure to the emerging markets portion of the international bond market. The fund seeks to track the performance of an index that provides exposure to government bonds in emerging economies. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds of governments located in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. Because the fund invests only in U.S. dollar-denominated bonds, it does not subject U.S.-based investors to currency risk. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Taxable Bond,2015-02-11,5000000,0.0018,Moderate
238,VWO,Diversified Emerging Markets,"Invests in stocks of companies located in emerging markets around the world, such as China, Brazil, Taiwan, and South Africa.Goal is to closely track the return of the FTSE Emerging Markets All Cap China A Inclusion Index.Has high potential for growth, but also high risk; share value may swing up and down more than that of stock funds that invest in developed countries, including the United States.Only appropriate for long-term goals.",International/Global Stock,2005-03-04,1,0.0008,Aggressive
239,VSCSX,Short-Term Bond,"This low-cost index fund invests in U.S. dollar-denominated, investment-grade, fixed-rate, taxable bonds issued by industrial, utility, and financial companies, with maturities between 1 and 5 years. Like other bond funds, one of the fund’s risks is that increases in interest rates cause the prices of the bonds in the portfolio to decrease; however, such risk is less pronounced in this fund than in funds with longer average durations. A key risk of the fund is the fact that changes in interest rates can eventually lead to a decrease in income for the fund. Investors with a short-term savings goal who are willing to accept some price movement may wish to consider this fund.",Short-Term Bond,2010-11-18,3000,0.0007,Conservative
240,VIOO,Small Blend,"On February 22, 2023, Vanguard announced that the ETF will complete a 2:1 share split effective March 14, 2023. The share split results in a decrease of the price per share of the ETF with a proportionate increase in the number of shares outstanding. Historical share price data will not be adjusted for the split. Although certain data may reflect both pre- and post-split prices, returns are not impacted.",Domestic Stock - More Aggressive,2010-09-07,1,0.001,Aggressive
241,VEOIX,World Stock,"This actively managed fund is designed for investors with a high tolerance for risk who are seeking the potential to outperform the market over the long term, including those who may be environmentally conscious. The fund is intended to be used as a satellite position to augment a broadly diversified portfolio. The fund will seek to invest in companies which derive at least 50% of their revenue from activities deemed by the fund's advisor to contribute positively to environmental change and that are involved in the process of decarbonization. The fund's advisor is a leader in environmentally-oriented investing who employs a structured, research-driven process to identify companies exhibiting (i) structural growth opportunities, (ii) sustainable or persistent returns, and (iii) competitive advantages relative to their peers.ESG funds are subject to ESG investment risk, which is the chance that the stocks or bonds screened by the index provider or advisor, as applicable, for ESG criteria generally will underperform the market as a whole or, in the aggregate, will trail returns of other funds screened for ESG criteria. The index provider or advisor’s assessment of a company, based on the company’s level of involvement in a particular industry or their own ESG criteria, may differ from that of other funds or an investor’s assessment of such company. As a result, the companies deemed eligible by the index provider or advisor may not reflect the beliefs and values of any particular investor and may not exhibit positive or favorable ESG characteristics. The evaluation of companies for ESG screening or integration is dependent on the timely and accurate reporting of ESG data by the companies. Successful application of the screens will depend on the index provider or advisor's proper identification and analysis of ESG data. The advisor may not be successful in assessing and identifying companies that have or will have a positive impact or support a given position. In some circumstances, companies could ultimately have a negative or no impact or support of a given position.",International/Global Stock,2022-11-16,3000,0.0075,Moderate to Aggressive
